Line, Station, Station Code, FR Code,
1,종로3가,153,130,
1,동대문,155,128,
1,서울,150,133,
1,신도림,1007,140,
1,시청,151,132,
1,신설동,156,126,
1,광운대,1019,119,
1,신길,1032,138,
1,동묘앞,159,127,
1,석계,1018,120,
1,도봉산,1903,113,
1,금정,1708,P149,
1,수원,1713,P155,
1,회기,1015,123,
1,회룡,1905,111,
1,창동,1022,116,
1,가산디지털단지,1702,P142,
1,온수,1821,145,
1,부평,1806,152,
1,주안,1809,156,
1,인천,1812,161,
1,청량리,158,124,
1,용산,1003,135,
1,종각,152,131,
1,종로5가,154,129,
1,제기동,157,125,
1,성균관대,1711,P153,
1,구일,1813,142,
1,남영,1002,134,
1,노량진,1004,136,
1,대방,1005,137,
1,영등포,1006,139,
1,외대앞,1016,122,
1,신이문,1017,121,
1,월계,1020,118,
1,녹천,1021,117,
1,봉명,1401,P170,
1,쌍용(나사렛대),1402,P171,
1,아산,1403,P172,
1,배방,1405,P174,
1,온양온천,1407,P176,
1,신창,1408,P177,
1,구로,1701,141,
1,금천구청,1703,P144,
1,석수,1704,P145,
1,관악,1705,P146,
1,안양,1706,P147,
1,명학,1707,P148,
1,군포,1709,P150,
1,의왕,1710,P152,
1,화서,1712,P154,
1,독산,1714,P143,
1,세류,1715,P156,
1,병점,1716,P157,
1,세마,1717,P158,
1,오산대,1718,P159,
1,오산,1719,P160,
1,진위,1720,P161,
1,송탄,1721,P162,
1,서정리,1722,P163,
1,지제,1723,P164,
1,평택,1724,P165,
1,성환,1725,P166,
1,직산,1726,P167,
1,두정,1727,P168,
1,천안,1728,P169,
1,당정,1729,P151,
1,서동탄,1749,P157-1,
1,광명,1750,P144-1,
1,개봉,1801,143,
1,오류동,1802,144,
1,역곡,1803,146,
1,부천,1804,148,
1,송내,1805,150,
1,백운,1807,153,
1,동암,1808,154,
1,제물포,1810,158,
1,동인천,1811,160,
1,부개,1815,151,
1,간석,1816,155,
1,도원,1817,159,
1,중동,1822,149,
1,도화,1823,157,
1,소사,1814,147,
1,방학,1901,115,
1,도봉,1902,114,
1,망월사,1904,112,
1,의정부,1906,110,
1,가능,1907,109,
1,녹양,1908,108,
1,양주,1909,107,
1,덕계,1910,106,
1,덕정,1911,105,
1,지행,1912,104,
1,동두천중앙,1913,103,
1,보산,1914,102,
1,동두천,1915,101,
1,소요산,1916,100,
