Line, Station, Station Code, FR Code,
4,동대문,421,421,
4,동대문역사문화공원,422,422,
4,충무로,423,423,
4,서울,426,426,
4,이촌,430,430,
4,삼각지,428,428,
4,금정,1458,443,
4,오이도,1762,456,
4,창동,412,412,
4,사당,433,433,
4,노원,411,411,
4,총신대입구(이수),432,432,
4,동작,431,431,
4,성신여대입구,418,418,
4,당고개,409,409,
4,상계,410,410,
4,쌍문,413,413,
4,수유,414,414,
4,미아,415,415,
4,미아사거리,416,416,
4,길음,417,417,
4,한성대입구,419,419,
4,혜화,420,420,
4,명동,424,424,
4,회현,425,425,
4,숙대입구,427,427,
4,신용산,429,429,
4,남태령,434,434,
4,선바위,1450,435,
4,경마공원,1451,436,
4,대공원,1452,437,
4,과천,1453,438,
4,정부과천청사,1454,439,
4,인덕원,1455,440,
4,평촌,1456,441,
4,범계,1457,442,
4,산본,1751,444,
4,대야미,1752,446,
4,반월,1753,447,
4,상록수,1754,448,
4,한대앞,1755,449,
4,중앙,1756,450,
4,고잔,1757,451,
4,초지,1758,452,
4,안산,1759,453,
4,신길온천,1760,454,
4,정왕,1761,455,
4,수리산,1763,445,
