Line, Station, Station Code, FR Code,
6,합정,2623,622,
6,공덕,2627,626,
6,삼각지,2629,628,
6,약수,2634,633,
6,신당,2636,635,
6,동묘앞,2637,636,
6,석계,2645,644,
6,불광,2613,612,
6,연신내,2615,614,
6,디지털미디어시티,2619,618,
6,효창공원앞,2628,627,
6,태릉입구,2646,645,
6,청구,2635,634,
6,보문,2639,638,
6,응암,2611,610,
6,역촌,2612,611,
6,독바위,2614,613,
6,구산,2616,615,
6,새절,2617,616,
6,증산,2618,617,
6,월드컵경기장,2620,619,
6,마포구청,2621,620,
6,망원,2622,621,
6,상수,2624,623,
6,광흥창,2625,624,
6,대흥,2626,625,
6,녹사평,2630,629,
6,이태원,2631,630,
6,한강진,2632,631,
6,버티고개,2633,632,
6,창신,2638,637,
6,안암,2640,639,
6,고려대,2641,640,
6,월곡,2642,641,
6,상월곡,2643,642,
6,돌곶이,2644,643,
6,화랑대,2647,646,
6,봉화산,2648,647,
