Line, Station, Station Code, FR Code,
3,가락시장,340,350,
3,종로3가,319,329,
3,오금,342,352,
3,충무로,321,331,
3,교대,330,340,
3,을지로3가,320,330,
3,약수,323,333,
3,불광,312,322,
3,연신내,311,321,
3,대곡,1953,315,
3,고속터미널,329,339,
3,양재,332,342,
3,옥수,325,335,
3,도곡,334,344,
3,수서,339,349,
3,홍제,314,324,
3,경찰병원,341,351,
3,삼송,1950,318,
3,화정,1952,316,
3,원흥,1948,309,
3,지축,309,319,
3,구파발,310,320,
3,녹번,313,323,
3,무악재,315,325,
3,독립문,316,326,
3,경복궁,317,327,
3,안국,318,328,
3,동대입구,322,332,
3,금호,324,334,
3,압구정,326,336,
3,신사,327,337,
3,잠원,328,338,
3,남부터미널,331,341,
3,매봉,333,343,
3,대치,335,345,
3,학여울,336,346,
3,대청,337,347,
3,일원,338,348,
3,원당,1951,317,
3,백석,1954,314,
3,마두,1955,313,
3,정발산,1956,312,
3,주엽,1957,311,
3,대화,1958,310,
