Line, Station, Station Code, FR Code,
9,선정릉,4127,927,
9,종합운동장,4130,930,
9,고속터미널,4123,923,
9,당산,4113,913,
9,여의도,4115,915,
9,동작,4120,920,
9,김포공항,4102,902,
9,노량진,4117,917,
9,개화,4101,901,
9,공항시장,4103,903,
9,신방화,4104,904,
9,마곡나루,4105,905,
9,양천향교,4106,906,
9,가양,4107,907,
9,증미,4108,908,
9,등촌,4109,909,
9,염창,4110,910,
9,신목동,4111,911,
9,선유도,4112,912,
9,국회의사당,4114,914,
9,샛강,4116,916,
9,노들,4118,918,
9,흑석,4119,919,
9,구반포,4121,921,
9,신반포,4122,922,
9,사평,4124,924,
9,신논현,4125,925,
9,언주,4126,926,
9,삼성중앙,4128,928,
9,봉은사,4129,929,
