Line, Station, Station Code, FR Code,
2,동대문역사문화공원,205,205,
2,신도림,234,234,
2,왕십리,208,208,
2,시청,201,201,
2,교대,223,223,
2,신설동,246,211-4,
2,강변,214,214,
2,까치산,260,234-4,
2,을지로3가,203,203,
2,홍대입구,239,239,
2,영등포구청,236,236,
2,을지로4가,204,204,
2,합정,238,238,
2,신당,206,206,
2,종합운동장,218,218,
2,사당,226,226,
2,건대입구,212,212,
2,대림,233,233,
2,잠실,216,216,
2,당산,237,237,
2,강남,222,222,
2,선릉,220,220,
2,충정로,243,243,
2,을지로입구,202,202,
2,상왕십리,207,207,
2,한양대,209,209,
2,뚝섬,210,210,
2,성수,211,211,
2,구의,213,213,
2,잠실나루,215,215,
2,잠실새내,217,217,
2,삼성,219,219,
2,역삼,221,221,
2,서초,224,224,
2,방배,225,225,
2,낙성대,227,227,
2,서울대입구,228,228,
2,봉천,229,229,
2,신림,230,230,
2,신대방,231,231,
2,구로디지털단지,232,232,
2,문래,235,235,
2,신촌,240,240,
2,이대,241,241,
2,아현,242,242,
2,용답,244,211-1,
2,신답,245,211-2,
2,도림천,247,234-1,
2,양천구청,248,234-2,
2,신정네거리,249,234-3,
2,용두,250,211-3,
